ダウンロードした時刻：2018/05/27 17:37:20

,一関,一関,一関
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2011/1/1,1.8,8,1
2011/1/2,0.4,8,1
2011/1/3,-2.3,8,1
2011/1/4,-0.8,8,1
2011/1/5,1.0,8,1
2011/1/6,-1.7,8,1
2011/1/7,-3.8,8,1
2011/1/8,-0.9,8,1
2011/1/9,-1.8,8,1
2011/1/10,-3.4,8,1
2011/1/11,-3.4,8,1
2011/1/12,-3.4,8,1
2011/1/13,-4.0,8,1
2011/1/14,-3.4,8,1
2011/1/15,-2.6,8,1
2011/1/16,-2.5,8,1
2011/1/17,-0.9,8,1
2011/1/18,0.3,8,1
2011/1/19,-1.1,8,1
2011/1/20,-1.7,8,1
2011/1/21,-1.2,8,1
2011/1/22,-1.7,8,1
2011/1/23,-1.6,8,1
2011/1/24,-4.2,8,1
2011/1/25,-3.6,8,1
2011/1/26,-1.7,8,1
2011/1/27,-0.9,8,1
2011/1/28,-3.7,8,1
2011/1/29,-2.9,8,1
2011/1/30,-4.7,8,1
2011/1/31,-3.4,8,1
2011/2/1,-1.4,8,1
2011/2/2,-1.3,8,1
2011/2/3,-0.9,8,1
2011/2/4,-0.5,8,1
2011/2/5,1.7,8,1
2011/2/6,-0.3,8,1
2011/2/7,1.0,8,1
2011/2/8,0.7,8,1
2011/2/9,-1.2,8,1
2011/2/10,-1.2,8,1
2011/2/11,-0.9,8,1
2011/2/12,-0.6,8,1
2011/2/13,0.2,8,1
2011/2/14,-0.2,8,1
2011/2/15,1.0,8,1
2011/2/16,1.4,8,1
2011/2/17,1.3,8,1
2011/2/18,2.5,8,1
2011/2/19,1.2,8,1
2011/2/20,0.3,8,1
2011/2/21,0.7,8,1
2011/2/22,1.7,8,1
2011/2/23,3.8,8,1
2011/2/24,6.4,8,1
2011/2/25,4.9,8,1
2011/2/26,0.4,8,1
2011/2/27,1.6,8,1
2011/2/28,1.4,8,1
2011/3/1,2.1,8,1
2011/3/2,0.7,8,1
2011/3/3,-2.8,8,1
2011/3/4,-2.5,8,1
2011/3/5,1.3,8,1
2011/3/6,5.0,8,1
2011/3/7,2.4,8,1
2011/3/8,1.7,8,1
2011/3/9,0.5,8,1
2011/3/10,-1.2,8,1
2011/3/11,0.1,8,1
2011/3/12,2.1,8,1
2011/3/13,-1.8,4,1
2011/3/14,8.2,5,1
2011/3/15,3.5,8,1
2011/3/16,0.5,8,1
2011/3/17,-0.9,8,1
2011/3/18,-0.1,8,1
2011/3/19,5.5,8,1
2011/3/20,6.5,8,1
2011/3/21,5.0,8,1
2011/3/22,3.1,8,1
2011/3/23,1.6,8,1
2011/3/24,1.3,8,1
2011/3/25,1.5,8,1
2011/3/26,1.9,8,1
2011/3/27,1.1,8,1
2011/3/28,1.6,8,1
2011/3/29,4.7,8,1
2011/3/30,5.6,8,1
2011/3/31,4.8,8,1
2011/4/1,6.2,8,1
2011/4/2,5.7,8,1
2011/4/3,3.7,8,1
2011/4/4,2.8,8,1
2011/4/5,5.9,8,1
2011/4/6,10.2,8,1
2011/4/7,9.6,8,1
2011/4/8,11.4,8,1
2011/4/9,8.3,8,1
2011/4/10,8.7,8,1
2011/4/11,6.0,8,1
2011/4/12,5.5,8,1
2011/4/13,8.6,8,1
2011/4/14,11.5,8,1
2011/4/15,12.8,8,1
2011/4/16,10.6,8,1
2011/4/17,8.4,8,1
2011/4/18,8.4,8,1
2011/4/19,5.4,8,1
2011/4/20,5.9,8,1
2011/4/21,8.1,8,1
2011/4/22,8.9,8,1
2011/4/23,11.7,8,1
2011/4/24,11.1,8,1
2011/4/25,9.0,8,1
2011/4/26,12.0,8,1
2011/4/27,13.3,8,1
